employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,absences,recruitment_source,salary,performance_rating,overtime,birthdate,termdate,termination_reason,long_time_hire,month_hire,month_term
00-13999315,Puji,Haryanti,Female,Banten,Tangerang,2016-08-03,Operations,Logistics Coordinator,Bachelor,0,Jobstreet,14864627,Good,No,1981-07-01,2024-01-25,Health Reasons,8.0,8,1.0
00-41244663,Omar,Pradana,Male,Jawa Tengah,Semarang,2023-07-15,Operations,Logistics Coordinator,Bachelor,0,Other,10179424,Good,No,1989-06-30,2024-01-11,Layoff,1.0,7,1.0
00-70855700,Virman,Nainggolan,Male,Jawa Barat,Bogor,2021-01-29,Finance,Accountant,Bachelor,0,Jobstreet,12445979,Needs Improvement,No,1983-09-30,2024-04-28,Performance Issues,3.0,1,4.0
00-86125617,Garang,Jailani,Male,Jawa Tengah,Semarang,2023-09-01,Marketing,Content Creator,High School,0,Company Website,11713877,Satisfactory,No,1988-12-01,2024-02-28,Other,1.0,9,2.0
00-29175900,Cawisono,Santoso,Male,DKI Jakarta,Jakarta Timur,2017-09-23,Customer Service,Help Desk Technician,High School,0,LinkedIn,4476693,Good,Yes,2001-03-24,2024-08-20,Resignation,7.0,9,8.0
00-67503414,Wahyu,Simanjuntak,Male,Jawa Barat,Depok,2023-09-08,Operations,Inventory Specialist,Bachelor,0,LinkedIn,6315892,Excellent,No,1997-10-25,2024-03-06,Resignation,1.0,9,3.0
00-39436733,Darmaji,Siregar,Male,Jawa Barat,Bogor,2024-04-28,Operations,Inventory Specialist,High School,0,Other,7089440,Good,No,1980-04-15,2024-10-25,Layoff,0.0,4,10.0
00-89978790,Vino,Suryono,Male,Banten,Tangerang,2023-11-16,Sales,Sales Consultant,PhD,0,Company Website,21344084,Good,Yes,1981-04-02,2024-05-14,Other,1.0,11,5.0
00-84252722,Galih,Kurniawan,Male,Jawa Barat,Bekasi,2023-08-27,Sales,Sales Representative,Bachelor,0,Job Fair,13199522,Good,Yes,1988-03-23,2024-02-23,Layoff,1.0,8,2.0
00-45351479,Restu,Utami,Female,Jawa Barat,Purwakarta,2023-11-24,Operations,Inventory Specialist,High School,14,Jobstreet,9427759,Good,No,1972-11-04,2024-05-22,Layoff,1.0,11,5.0
00-95758349,Dina,Winarsih,Female,Banten,Tangerang,2020-06-29,Customer Service,Help Desk Technician,High School,0,Jobstreet,5414989,Satisfactory,Yes,1997-10-15,2024-04-25,Resignation,4.0,6,4.0
00-60185867,Usyi,Farida,Female,Sulawesi Selatan,Makassar,2022-11-10,Sales,Sales Representative,Bachelor,0,LinkedIn,11658579,Good,No,1997-01-15,2024-04-07,Resignation,2.0,11,4.0
00-81182864,Candra,Sihotang,Male,Jawa Timur,Blitar,2024-02-28,Operations,Logistics Coordinator,Bachelor,0,Job Fair,15108498,Good,No,1992-10-18,2024-08-26,Other,0.0,2,8.0
00-19289546,Puspa,Andriani,Female,Sumatera Utara,Tebing Tinggi,2023-09-06,Operations,Operations Analyst,Bachelor,0,Jobstreet,20159777,Satisfactory,Yes,1987-03-01,2024-03-04,Layoff,1.0,9,3.0
00-38427073,Maya,Lailasari,Female,Jawa Barat,Purwakarta,2024-06-14,Marketing,Marketing Coordinator,Bachelor,0,Jobstreet,5687667,Good,No,1970-03-15,2024-12-11,Layoff,0.0,6,12.0
00-54349361,Liman,Marpaung,Male,Jawa Timur,Madiun,2016-06-27,Marketing,Content Creator,Bachelor,14,Job Fair,15349206,Good,Yes,1999-01-27,2024-06-17,Resignation,8.0,6,6.0
00-73481353,Amelia,Nasyidah,Female,Sumatera Utara,Binjai,2023-11-16,Customer Service,Help Desk Technician,Bachelor,0,Jobstreet,6149014,Good,Yes,1988-03-07,2024-05-14,Layoff,1.0,11,5.0
00-97705310,Patricia,Kuswandari,Female,Kalimantan Timur,Balikpapan,2024-02-16,Operations,Inventory Specialist,Bachelor,0,LinkedIn,9626091,Satisfactory,No,1976-03-06,2024-08-14,Layoff,0.0,2,8.0
00-11980765,Dirja,Kusumo,Male,DKI Jakarta,Jakarta Timur,2024-01-24,Operations,Logistics Coordinator,Bachelor,0,LinkedIn,6717251,Good,Yes,1989-05-31,2024-07-22,Layoff,0.0,1,7.0
00-64547971,Ajimat,Sihombing,Male,Jawa Tengah,Semarang,2019-07-21,Finance,Accountant,Bachelor,0,Indeed,19149279,Good,No,1982-04-13,2024-09-25,Other,5.0,7,9.0
00-10289289,Titin,Handayani,Female,Jawa Timur,Madiun,2024-03-24,Operations,Inventory Specialist,High School,18,LinkedIn,6815983,Good,No,1985-08-02,2024-09-20,Misconduct,0.0,3,9.0
00-87701200,Septi,Hariyah,Female,DKI Jakarta,Jakarta Timur,2020-01-23,Customer Service,Support Specialist,Bachelor,0,Other,5055951,Needs Improvement,Yes,1996-02-21,2024-01-23,Performance Issues,4.0,1,1.0
00-66267415,Titi,Padmasari,Female,Jawa Tengah,Surakarta,2022-10-19,Operations,Logistics Coordinator,Bachelor,6,Jobstreet,16495773,Good,Yes,1961-05-07,2024-06-08,Other,2.0,10,6.0
00-52462441,Balangga,Maheswara,Male,Jawa Timur,Malang,2024-03-10,Marketing,Content Creator,High School,0,Job Fair,8057084,Good,Yes,1990-06-30,2024-09-06,Layoff,0.0,3,9.0
00-42787299,Umi,Nasyidah,Female,Jawa Tengah,Magelang,2018-03-02,Sales,Sales Representative,Bachelor,0,LinkedIn,11436757,Good,Yes,1964-10-19,2024-06-08,Health Reasons,6.0,3,6.0
00-95125977,Ratna,Handayani,Female,Sumatera Utara,Tebing Tinggi,2023-09-30,Customer Service,Support Specialist,High School,11,Company Website,4437646,Good,No,1992-09-24,2024-03-28,Other,1.0,9,3.0
00-43704923,Asmianto,Dongoran,Male,DKI Jakarta,Jakarta Barat,2023-08-01,Sales,Sales Representative,Bachelor,0,LinkedIn,17631567,Needs Improvement,Yes,1964-05-14,2024-01-28,Performance Issues,1.0,8,1.0
00-45159040,Bagiya,Salahudin,Male,Kalimantan Timur,Samarinda,2017-01-25,Marketing,Content Creator,High School,0,Company Website,4943323,Good,No,2000-07-10,2024-06-14,Resignation,7.0,1,6.0
