employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,absences,recruitment_source,salary,performance_rating,overtime,birthdate,termdate,termination_reason
00-95822412,Suci,Halimah,Female,Jawa Barat,Bogor,2016-01-10,Customer Service,Help Desk Technician,High School,0,Jobstreet,4912301,Satisfactory,No,1998-08-12,2021-07-05,Resignation
00-42868828,Opung,Mandala,Male,Jawa Barat,Bandung,2017-04-06,Operations,Logistics Coordinator,Bachelor,0,Jobstreet,15504850,Good,No,1995-06-01,2019-06-14,Other
00-83197857,Darmana,Hidayat,Male,Jawa Barat,Bandung,2016-10-13,Operations,Inventory Specialist,High School,0,LinkedIn,7665513,Satisfactory,No,1989-12-02,2021-03-06,Other
00-13999315,Baktiono,Sirait,Male,Jawa Barat,Bandung,2016-10-14,Sales,Sales Representative,Bachelor,0,Jobstreet,9109600,Good,No,1986-02-18,2018-11-06,Other
00-90801586,Tri,Saputra,Male,Jakarta,Jakarta Pusat,2015-02-03,IT,IT Support Specialist,Bachelor,10,Company Website,6140695,Good,No,1991-01-08,2017-11-29,Layoff
00-97226012,Rika,Utami,Female,Sulawesi Selatan,Makassar,2022-01-13,Finance,Accountant,Bachelor,0,LinkedIn,15142430,Good,Yes,2004-04-14,2022-07-12,Resignation
00-70291817,Among,Gunawan,Male,Jawa Barat,Bogor,2020-03-25,Sales,Sales Representative,Bachelor,12,Job Fair,5237789,Satisfactory,Yes,1984-12-04,2020-09-21,Other
00-31429110,Daruna,Ramadan,Male,Jawa Barat,Bekasi,2022-08-22,Operations,Logistics Coordinator,Bachelor,0,Job Fair,5462578,Needs Improvement,No,1989-01-26,2023-02-18,Performance Issues
00-30868105,Akarsana,Setiawan,Male,Jakarta,Jakarta Pusat,2017-03-19,Customer Service,Support Specialist,High School,13,Jobstreet,6994474,Needs Improvement,No,1973-11-16,2021-11-15,Performance Issues
00-22448136,Tina,Oktaviani,Female,Jawa Barat,Bogor,2018-03-27,Marketing,SEO Specialist,Bachelor,0,Jobstreet,15241990,Good,No,1979-11-14,2022-03-30,Layoff
00-56164955,Ikin,Sihombing,Male,Sumatera Utara,Tebing Tinggi,2021-04-19,Operations,Logistics Coordinator,Bachelor,14,Jobstreet,7527002,Needs Improvement,No,1993-06-15,2021-10-16,Performance Issues
00-71662963,Rusman,Adriansyah,Male,Jawa Barat,Bandung,2020-10-21,Operations,Operations Analyst,Bachelor,0,Company Website,22532821,Good,No,1994-05-02,2024-01-28,Layoff
00-84093639,Yani,Lailasari,Female,Jawa Barat,Bandung,2017-09-29,Customer Service,Support Specialist,Bachelor,0,Jobstreet,7428143,Satisfactory,No,1990-06-24,2018-03-28,Health Reasons
00-58537831,Indra,Narpati,Male,Jawa Barat,Bandung,2020-04-17,Marketing,Content Creator,Bachelor,0,Company Website,14707059,Satisfactory,Yes,1991-07-16,2020-10-14,Other
00-16150444,Eva,Nurdiyanti,Female,Jawa Barat,Bandung,2022-10-24,IT,System Administrator,Master,1,Other,13692054,Good,No,1990-12-27,2023-04-22,Layoff
00-41244663,Jessica,Hastuti,Female,Jawa Barat,Bandung,2023-02-06,Customer Service,Support Specialist,High School,11,Job Fair,6707272,Excellent,No,1965-04-11,2023-08-05,Health Reasons
00-70855700,Harjasa,Hardiansyah,Male,Sulawesi Selatan,Pare-Pare,2021-05-20,IT,Software Developer,Bachelor,0,LinkedIn,24241943,Good,No,1988-01-31,2021-11-16,Health Reasons
00-59684848,Slamet,Natsir,Male,Sumatera Utara,Medan,2018-08-23,Finance,Financial Analyst,Master,0,Indeed,24065771,Good,No,1986-09-04,2019-12-08,Other
00-96977837,Eman,Waskita,Male,Jawa Barat,Bandung,2016-01-17,Customer Service,Help Desk Technician,High School,0,Company Website,5906319,Good,Yes,2001-01-04,2023-01-29,Resignation
00-81691040,Titi,Yuniar,Female,Sulawesi Selatan,Makassar,2022-07-28,Sales,Sales Consultant,PhD,0,Other,29037319,Satisfactory,No,1990-02-15,2023-01-24,Layoff
00-60929647,Bancar,Nainggolan,Male,Sulawesi Selatan,Gowa,2017-01-31,Operations,Inventory Specialist,High School,11,LinkedIn,7941696,Good,Yes,1973-08-03,2024-06-16,Other
00-84752529,Kusuma,Maulana,Male,Jawa Barat,Bogor,2017-11-19,Finance,Accountant,Bachelor,0,Other,16922478,Good,Yes,1975-07-17,2022-08-06,Other
00-17507864,Lutfan,Saragih,Male,Jawa Tengah,Semarang,2017-12-10,Operations,Logistics Coordinator,Bachelor,0,LinkedIn,10649359,Good,No,1998-01-10,2018-06-08,Resignation
00-52339391,Setya,Najmudin,Male,Jawa Barat,Bogor,2019-08-13,Sales,Sales Representative,Bachelor,0,Jobstreet,7770710,Satisfactory,No,2001-10-16,2020-02-09,Resignation
00-86125617,Dadi,Thamrin,Male,Bali,Kuta,2023-01-28,Operations,Logistics Coordinator,Bachelor,12,Jobstreet,7842690,Needs Improvement,Yes,1989-10-10,2024-02-06,Performance Issues
00-97971488,Aurora,Nuraini,Female,Jawa Barat,Bekasi,2020-10-27,HR,Recruiter,Bachelor,0,Company Website,17881012,Satisfactory,No,1976-06-16,2021-10-27,Layoff
00-29175900,Elvin,Gunarto,Male,Jawa Barat,Bogor,2017-11-29,IT,System Administrator,Bachelor,0,Other,12759634,Good,Yes,2001-03-13,2018-05-28,Resignation
00-85345555,Gina,Hariyah,Female,Jawa Barat,Bogor,2020-05-27,Finance,Accountant,Bachelor,0,LinkedIn,18090991,Satisfactory,No,2000-01-04,2021-04-09,Resignation
00-67503414,Estiawan,Pradana,Male,Jawa Barat,Bandung,2023-09-04,Sales,Sales Specialist,Master,0,Other,12863284,Good,No,1996-01-24,2024-03-02,Layoff
00-39436733,Zahra,Riyanti,Female,Jawa Barat,Bekasi,2024-03-04,Operations,Logistics Coordinator,Bachelor,12,Job Fair,5455666,Satisfactory,No,1977-06-08,2024-08-31,Layoff
00-76238574,Kartika,Rahayu,Female,Jawa Barat,Bogor,2016-03-22,Sales,Sales Representative,Bachelor,0,Other,13613071,Good,No,1978-02-17,2021-05-10,Other
00-24716857,Salsabila,Pudjiastuti,Female,Jawa Barat,Bandung,2017-09-30,Sales,Sales Representative,Bachelor,5,LinkedIn,9605746,Satisfactory,Yes,2004-01-16,2021-11-16,Resignation
00-66661351,Sabrina,Hartati,Female,Jawa Barat,Bandung,2020-08-24,Sales,Sales Specialist,Master,0,Jobstreet,21412574,Good,No,1972-06-07,2022-11-17,Layoff
00-89978790,Makara,Hutasoit,Male,Banten,Tangerang,2024-07-26,Operations,Logistics Coordinator,Bachelor,0,LinkedIn,10763770,Good,Yes,1991-03-28,2025-01-22,Health Reasons
00-84252722,Titi,Nasyiah,Female,Jawa Barat,Bogor,2023-03-05,Sales,Sales Consultant,Master,0,LinkedIn,21893160,Satisfactory,No,1993-02-06,2023-09-01,Layoff
00-25374874,Jail,Nainggolan,Male,Sulawesi Selatan,Pare-Pare,2022-04-15,Sales,Sales Consultant,Master,0,LinkedIn,20160662,Satisfactory,No,1978-07-12,2022-10-12,Other
00-45812670,Wahyu,Simanjuntak,Male,Jawa Barat,Bogor,2022-09-25,IT,IT Support Specialist,Bachelor,0,Jobstreet,5071353,Excellent,No,1971-11-23,2024-02-14,Layoff
00-49392920,Puti,Novitasari,Female,Sulawesi Selatan,Makassar,2019-09-23,Customer Service,Help Desk Technician,Bachelor,7,Indeed,5817863,Good,Yes,1997-08-31,2021-04-29,Resignation
00-45351479,Gamani,Winarno,Male,Jawa Barat,Bandung,2024-10-28,Operations,Operations Analyst,Master,0,LinkedIn,14361304,Good,No,1983-12-13,2025-04-26,Health Reasons
00-24282218,Asman,Latupono,Male,Jawa Barat,Bekasi,2023-11-16,Marketing,Content Creator,Bachelor,0,Indeed,15415088,Good,Yes,1998-08-22,2024-05-14,Resignation
00-95758349,Anggabaya,Waskita,Male,Sulawesi Selatan,Pare-Pare,2020-05-02,Operations,Operations Analyst,Bachelor,0,Company Website,14021131,Needs Improvement,No,1977-09-04,2021-12-11,Performance Issues
00-60185867,Lalita,Pudjiastuti,Female,Jawa Barat,Bandung,2022-01-26,Sales,Sales Consultant,Master,0,Job Fair,21476914,Good,Yes,1985-10-27,2022-10-12,Layoff
00-81182864,Gabriella,Pertiwi,Female,Jawa Barat,Bandung,2024-03-23,Operations,Logistics Coordinator,Bachelor,0,LinkedIn,6296948,Needs Improvement,No,1995-11-10,2024-09-19,Performance Issues
00-75579548,Marwata,Prayoga,Male,Sumatera Utara,Tebing Tinggi,2015-06-03,Operations,Logistics Coordinator,Bachelor,0,Indeed,15214861,Good,No,1986-11-21,2023-03-13,Layoff
00-51273847,Tasdik,Sinaga,Male,Jawa Barat,Bogor,2017-06-28,Sales,Sales Specialist,Master,0,Company Website,18944406,Good,No,1984-12-12,2018-12-02,Layoff
00-20570592,Cakrabirawa,Mustofa,Male,Jawa Barat,Bogor,2016-02-24,Operations,Operations Analyst,Bachelor,0,Indeed,16847590,Good,No,1998-11-26,2016-08-22,Other
00-19289546,Hilda,Zulaika,Female,Jawa Barat,Bekasi,2024-04-12,Sales,Sales Representative,Bachelor,0,Indeed,14923913,Good,Yes,1981-09-25,2024-10-09,Other
00-26879290,Pangeran,Siregar,Male,Jawa Barat,Bogor,2016-06-15,Operations,Inventory Specialist,Bachelor,0,LinkedIn,8508533,Good,No,1975-07-01,2019-06-05,Other
00-32162965,Usman,Siregar,Male,Jawa Barat,Bogor,2017-06-05,Sales,Sales Representative,Bachelor,0,Jobstreet,17205853,Good,No,1977-03-20,2018-12-07,Health Reasons
00-38427073,Karen,Novitasari,Female,Jawa Barat,Bekasi,2024-02-23,Customer Service,Support Specialist,High School,0,Jobstreet,5752759,Good,No,1992-01-16,2024-08-21,Other
