"employee_id","first_name","last_name","gender","province","city","hiredate","department","job_title","education_level","absences","recruitment_source","salary","performance_rating","overtime","birthdate","termdate","termination_reason"
"00-95822412",Suci,Halimah,Female,Jawa Barat,Bandung,2016-01-10,Marketing,SEO Specialist,Bachelor,0,Jobstreet,20531937,Good,No,1965-06-23,2016-07-08,Other
"00-42868828",Ulya,Puspasari,Female,Jakarta,Jakarta Timur,2017-04-06,Sales,Sales Specialist,Master,0,Company Website,19898184,Satisfactory,No,1974-02-08,2023-10-27,Other
"00-83197857",Genta,Laksmiwati,Female,Sulawesi Selatan,Gowa,2016-10-13,Marketing,Content Creator,High School,15,Other,14107053,Excellent,No,1976-09-21,2020-01-07,Layoff
"00-13999315",Ciaobella,Haryanti,Female,Sumatera Utara,Tebing Tinggi,2016-08-17,Customer Service,Customer Service Representative,Bachelor,0,LinkedIn,8331024,Good,No,1990-05-21,2021-05-13,Layoff
"00-90801586",Indra,Budiyanto,Male,Jawa Tengah,Solo,2015-01-12,Sales,Sales Representative,Bachelor,9,Jobstreet,4985406,Good,No,1973-08-27,2015-07-11,Health Reasons
"00-97226012",Cornelia,Nurdiyanti,Female,Sumatera Utara,Binjai,2022-04-01,Operations,Logistics Coordinator,Bachelor,0,LinkedIn,11949980,Satisfactory,Yes,1972-08-22,2022-09-28,Health Reasons
"00-70291817",Ophelia,Aryani,Female,Jawa Barat,Bandung,2020-08-05,Sales,Sales Representative,Bachelor,15,Job Fair,12308252,Good,Yes,1987-07-04,2021-02-01,Layoff
"00-31429110",Faizah,Oktaviani,Female,Jawa Barat,Bekasi,2022-03-27,Customer Service,Support Specialist,Bachelor,0,Other,7040402,Good,No,1989-06-12,2022-09-23,Layoff
"00-30868105",Ikin,Sihombing,Male,Jawa Barat,Bandung,2017-04-19,Customer Service,Help Desk Technician,Bachelor,0,Jobstreet,5355346,Good,No,1985-03-30,2019-09-02,Layoff
"00-22448136",Rusman,Adriansyah,Male,Jawa Barat,Bandung,2018-10-22,Operations,Logistics Coordinator,Bachelor,14,Job Fair,12705955,Needs Improvement,No,1980-11-19,2019-04-20,Performance Issues
"00-56164955",Yani,Lailasari,Female,Jawa Barat,Bandung,2021-09-29,Sales,Sales Consultant,PhD,0,Jobstreet,30855554,Good,No,1969-09-07,2022-03-28,Other
"00-71662963",Indra,Narpati,Male,Sulawesi Selatan,Gowa,2020-04-17,IT,IT Support Specialist,Bachelor,5,Company Website,5628474,Satisfactory,No,1979-01-21,2020-10-14,Other
"00-84093639",Chandra,Kurniawan,Male,Jawa Barat,Bekasi,2017-10-24,Customer Service,Support Specialist,High School,0,Indeed,4360944,Good,No,2000-07-06,2023-11-26,Resignation
"00-58537831",Gandi,Habibi,Male,Jawa Barat,Bogor,2020-02-06,Customer Service,Customer Service Representative,Bachelor,0,Other,6939655,Good,No,1989-07-03,2023-03-21,Health Reasons
